АЗЕРБАЙДЖАН;AZERBAIJAN;OZARBAYJON;ОЗАРБАЙЖОН
АВСТРИЯ;AUSTRIA;AVSTRIYA;АВСТРИЯ
АЛАНДСКИЕ ОСТРОВА;ALAND ISLANDS;ALAND OROLLARI;АЛАНД ОРОЛЛАРИ
АЛБАНИЯ;ALBANIA;ALBANIYA;АЛБАНИЯ
АЛЖИР;ALGERIA;JAZIR;ЖАЗОИР
АМЕРИКАНСКОЕ САМОА;AMERICAN SAMOA;AMERIKA SAMOASI;АМЕРИКА САМОАСИ
АНГИЛЬЯ;ANGUILLA;ANGUILLA;АНГУИЛЛА
АНГОЛА;ANGOLA;ANGOLA;АНГОЛА
АНДОРРА;ANDORRA;ANDORRA;АНДОРРА
АВСТРАЛИЯ;AUSTRALIA;AVSTRALIYA;АВСТРАЛИЯ
АНТАРКТИДА;ANTARCTICA;ANTARKTIKA;АНТАРКТИКА
АНТИГУА И БАРБУДА;ANTIGUA AND BARBUDA;ANTIGUA VA BARBUDA;АНТИГУА ВА БАРБУДА
АРГЕНТИНА;ARGENTINA;ARGENTINA;АРГЕНТИНА
АРМЕНИЯ;ARMENIA;ARMANISTON;АРМАНИСТОН
АРУБА;ARUBA;ARUBA;АРУБА
АФГАНИСТАН;AFGHANISTAN;AFGONISTON;АФҒОНИСТОН
БАГАМСКИЕ ОСТРОВА;BAHAMAS;BAHAMA;БАҲАМА ОРОЛЛАРИ
БАНГЛАДЕШ;BANGLADESH;BANGLADESH;БАНГЛАДЕШ
БАРБАДОС;BARBADOS;BARBADOS;БАРБАДОС
БАХРЕЙН;BAHRAIN;BAHRAYN;БАҲРАЙН
БЕЛАРУСЬ;BELARUS;BELARUS;БЕЛАРУС
БЕЛИЗ;BELIZE;BELIZE;БЕЛИЗ
БЕЛЬГИЯ;BELGIUM;BELGIYA;БЕЛГИЯ
БЕНИН;BENIN;BENIN;БЕНИН
БЕРМУДСКИЕ ОСТРОВА;BERMUDA;BERMUDA;БЕРМУДА
БОЛГАРИЯ;BULGARIA;BOLGARIYA;БОЛГАРИЯ
БОЛИВИЯ;BOLIVIA;BOLIVIYA;БОЛИВИЯ
БОНЭЙР, СИНТ-ЭСАТИУС И САБА;BONAIRE, SINT ESATIUS AND SABA;BONAIRE, SINT ESATIUS VA SABA;БОНАИР, СИНТ ЭСАТИУС ВА САБА
БОСНИЯ И ГЕРЦЕГОВИНА;BOSNIA AND HERZEGOVINA;BOSNIYA VA GERSEGOVINA;БОСНИЯ ВА ГЕРТСЕГОВИНА
БОТСВАНА;BOTSWANA;BOTSVANA;БОТСВАНА
БРАЗИЛИЯ;BRAZIL;BRAZILIYA;БРАЗИЛИЯ
БРИТАНСКИЕ ТЕРРИТОРИИ;BRITISH TERRITORIES;BRITANIYA HUDUDLARI;БРИТАНИЯ ҲУДУДЛАРИ
БРУНЕЙ-ДАРУССАЛАМ;BRUNEI DARUSSALAM;BRUNEY DORUSSALOM;БРУНЕЙ ДОРУССАЛОМ
БУВЕ;BUVE;BUVE;БУВЕ
БУРКИНА-ФАСО;BURKINA FASO;BURKINA FASO;БУРКИНА ФАСО
БУРУНДИ;BURUNDI;BURUNDI;БУРУНДИ
БУТАН;BUTANE;BUTAN;БУТАН
ВАНУАТУ;VANUATU;VANUATU;ВАНУАТУ
ВАТИКАН;VATICAN;VATIKAN;ВАТИКАН
ВЕНГРИЯ;HUNGARY;VENGRIYA;ВЕНГРИЯ
ВЕНЕСУЭЛА;VENEZUELA;VENESUELA;ВЕНЕСУЕЛА
ВИРГИН. ОСТРОВА (США);VIRGIN. ISLANDS (USA);BOKIRA. OROLLAR (AQSH);ВИРГИН ОРОЛЛАРИ (АҚШ)
ВИРГИН. ОСТРОВА (БРИТ.);VIRGIN. ISLANDS (UK);BOKIRA. OROLLAR (BUYUK BRITANIYA);ВИРГИН ОРОЛЛАРИ (БУЮК БРИТАНИЯ)
ВЬЕТНАМ;VIETNAM;VYETNAM;ВЕТНАМ
ГАБОН;GABON;GABON;ГАБОН
ГАИТИ;HAITI;GAITI;ГАИТИ
ГАЙАНА;GUYANA;GUYANA;ГУЯНА
ГАМБИЯ;GAMBIA;GAMBIA;ГАМБИА
ГАНА;GHANA;GANA;ГАНА
ГВАДЕЛУПА;GUADELOUPE;GVADELUPA;ГВАДЕЛУПА
ГВАТЕМАЛА;GUATEMALA;GUATEMALA;ГВАТЕМАЛА
ГВИНЕЯ;GUINEA;GVINEYA;ГВИНЕЯ
ГВИНЕЯ-БИСАУ;Guinea-Bissau;GVINEYA-BISAU;ГВИНЕЯ-БИСАУ
ГЕРМАНИЯ;GERMANY;GERMANIYA;ГЕРМАНИЯ
ГЕРНСИ;GUERNSEY;GERNSEY;ГЕРНСИ
ГИБРАЛТАР;GIBRALTAR;GIBRALTAR;ГИБРАЛТАР
ГОНДУРАС;HONDURAS;GONDURAS;ГОНДУРАС
ГОНКОНГ;HONG KONG;GONKONG;ГОНКОНГ
ГРЕНАДА;GRENADA;GRENADA;ГРЕНАДА
ГРЕНЛАНДИЯ;GREENLAND;GRENLANDIYA;ГРЕНЛАНДИЯ
ГРЕЦИЯ;GREECE;GRESIYA;ГРЕТСИЯ
ГРУЗИЯ;GEORGIA;GRUJIYA;ГРУЗИЯ
ГУАМ;GUAM;GUAM;ГУАМ
ДАНИЯ;DENMARK;DANIYA;ДАНИЯ
ДЖЕРСИ;JERSEY;JERSI;ЖЕРСИ
ДЖИБУТИ;Djibouti;JIBUTI;ЖИБУТИ
ДОМИНИКА;DOMINICA;DOMINIKA;ДОМИНИКА
ДОМИНИКАНСКАЯ РЕСПУБЛИКА;DOMINICAN REPUBLIC;DOMINIKAN RESPUBLIKASI;ДОМИНИКАН РЕСПУБЛИКАСИ
ЕГИПЕТ;EGYPT;MISR;МИСР
ЗАМБИЯ;ZAMBIA;ZAMBIA;ЗАМБИА
ЗАПАДНАЯ САХАРА;WEST SAHARA;G'ARBIY SAHARA;ҒАРБИЙ САҲАРА
ЗИМБАБВЕ;ZIMBABWE;ZIMBABVE;ЗИМБАБВЕ
ИЗРАИЛЬ;ISRAEL;ISROIL;ИСРОИЛ
ИНДИЯ;INDIA;HINDISTON;ҲИНДИСТОН
ИНДОНЕЗИЯ;INDONESIA;INDONEZIYA;ИНДОНЕЗИЯ
ИОРДАНИЯ;JORDAN;IORDAN;ИОРДАНИЯ
ИРАК;IRAQ;IRAQ;ИРОҚ
ИРАН;IRAN;ERON;ЭРОН
ИРЛАНДИЯ;IRELAND;IRLANDIYA;ИРЛАНДИЯ
ИСЛАНДИЯ;ICELAND;ISLANDIYA;ИСЛАНДИЯ
ИСПАНИЯ;SPAIN;ISPANYA;ИСПАНИЯ
ИТАЛИЯ;ITALY;ITALIYA;ИТАЛИЯ
ЙЕМЕН;YEMEN;YAMAN;ЯМАН
КАБО-ВЕРДЕ;CAPE VERDE;KAPA VERDE;КАПА ВЕРДЕ
КАЗАХСТАН;KAZAKHSTAN;QOZOQISTON;ҚОЗОҒИСТОН
КАЙМАН;CAIMAN;KAYMAN;КАЙМАН
КАМБОДЖА;CAMBODIA;KAMBODIYA;КАМБОЖА
КАМЕРУН;CAMEROON;KAMERUN;КАМЕРУН
КАНАДА;CANADA;KANADA;КАНАДА
КАТАР;QATAR;QATAR;ҚАТАР
КЕНИЯ;KENYA;KENYA;КЕНИЯ
КИПР;CYPRUS;KIPR;КИПР
КИРИБАТИ;KIRIBATI;KIRIBATI;КИРИБАТИ
КИТАЙ;CHINA;XITOY;ХИТОЙ
КОКОСОВЫЕ ОСТРОВА;COCONUT ISLANDS;KOKOS OROLLARI;КОКОС ОРОЛЛАРИ
КОЛУМБИЯ;COLOMBIA;KOLUMBIYA;КОЛУМБИЯ
КОМОРСКИЕ ОСТРОВА;COMOROS;KOMOR ORTALARI;КОМОР ОРОЛЛАРИ
КОНГО;CONGO;KONGO;КОНГО
КОНГО (ДРК);CONGO (DRC);KONGO (DRK);КОНГО (ДРК)
КОРЕЯ;KOREA;KOREYA;КОРЕЯ
КОРЕЯ (КНДР);KOREA (DPRK);KOREYA (KXDR);КОРЕЯ (КХДР)
КОСТА-РИКА;COSTA RICA;KOSTA-RIKA;КОСТА-РИКА
КОТ-Д'ИВУАР;CÔTE D'IVOIRE;KOT-D'IVUAR;КОТ-ДъИВУАР
КУБА;CUBA;KUBA;КУБА
КУВЕЙТ;KUWAIT;KUVAYT;ҚУВАЙТ
КЫРГЫЗСТАН;KYRGYZSTAN;QIRGIZISTON;ҚИРГИЗИСТОН
КЮРАСАО;CURACAO;KURAKAO;КУРАКАО
ЛАОС;LAOS;LAOS;ЛАОС
ЛАТВИЯ;LATVIA;LATVIYA;ЛАТВИЯ
ЛЕСОТО;LESOTHO;LESOTO;ЛЕСОТО
ЛИБЕРИЯ;LIBERIA;LIBERIA;ЛИБЕРИЯ
ЛИВАН;LEBANON;LIVAN;ЛИВАН
ЛИВИЯ;LIBYA;LIBYA;ЛИБЯ
ЛИТВА;LITHUANIA;LITVA;ЛИТВА
ЛИХТЕНШТЕЙН;LIECHTENSTEIN;LIXTENSSHTEYN;ЛИХТЕНСШТЕЙН
ЛЮКСЕМБУРГ;LUXEMBOURG;LYUKSEMBURG;ЛЮКСЕМБУРГ
МАВРИКИЙ;MAURITIUS;MAURITIUS;МАУРИТИУС
МАВРИТАНИЯ;MAURITANIA;MAVRITANIYA;МАВРИТАНИЯ
МАДАГАСКАР;MADAGASCAR;MADAGASKAR;МАДАГАСКАР
МАЙОТТА;MAYOTTE;MAYOTTE;МАЁТТА
МАКАО;MACAO;MAKAO;МАКАО
МАКЕДОНИЯ;MACEDONIA;MAKEDONIYA;МАКЕДОНИЯ
МАЛАВИ;MALAWI;MALAVI;МАЛАВИ
МАЛАЙЗИЯ;MALAYSIA;MALAYSIYA;МАЛАЙЗИЯ
МАЛИ;MALI;MALI;МАЛИ
МАЛЫЕ ТИХООКЕАНСКИЕ ОСТРОВА (США);MINOR PACIFIC ISLANDS (USA);KICHIK TINCH OKEAN OROLLARI (AQSH);КИЧИК ТИНЧ ОКЕАН ОРОЛЛАРИ (АҚШ)
МАЛЬДИВЫ;MALDIVES;MALDIV OROLLARI;МАЛДИВ ОРОЛЛАРИ
МАЛЬТА;MALTA;MALTA;МАЛТА
МАРИАНСКИЕ ОСТРОВА;MARIANA ISLANDS;MARIANA OROLLARI;МАРИАН ОРОЛЛАРИ
МАРОККО;MOROCCO;MAROKKO;МАРОККО
МАРТИНИКА;MARTINIQUE;MARTINIK;МАРТИНИК
МАРШАЛЛОВЫ ОСТРОВА;MARSHALL ISLANDS;MARSHALL OROLLARI;МАРШАЛЛ ОРОЛЛАРИ
МЕКСИКА;MEXICO;MEKSIKA;МЕКСИКА
МИКРОНЕЗИЯ;MICRONESIA;MIKRONEZIYA;МИКРОНЕЗИЯ
МОЗАМБИК;MOZAMBIQUE;MOZAMBIK;МОЗАМБИК
МОЛДОВА;MOLDOVA;MOLDOVA;МОЛДОВА
МОНАКО;MONACO;MONAKO;МОНАКО
МОНГОЛИЯ;MONGOLIA;MO‘G‘OLISTON;МЎҒОЛИСТОН
МОНТСЕРРАТ;MONTSERRAT;MONTSERRAT;МОНТСЕРРАТ
МЬЯНМА;MYANMAR;MYANMAR;МЯНМАР
НАМИБИЯ;NAMIBIA;NAMIBIYA;НАМИБИЯ
НАУРУ;NAURU;NAURU;НАУРУ
НЕПАЛ;NEPAL;NEPAL;НЕПАЛ
НИГЕР;NIGER;NIGER;НИГЕР
НИГЕРИЯ;NIGERIA;NIGERIA;НИГЕРИЯ
НИДЕРЛАНДСКИЕ АНТИЛЫ;NETHERLANDS ANTILES;GOLLANDIYA ANTILYALARI;ГОЛЛАНДИЯ АНТИЛЯЛАРИ
НИДЕРЛАНДЫ;NETHERLANDS;GOLLANDIYA;ГОЛЛАНДИЯ
НИКАРАГУА;NICARAGUA;NIKARAGUA;НИКАРАГУА
НИУЭ (Н.ЗЕЛ.);NIUE (N.G.);NIUE (N.G.);НИУЕ (Н.Г.)
НОВАЯ ЗЕЛАНДИЯ;NEW ZEALAND;YANGI ZELANDIYA;ЯНГИ ЗЕЛАНДИЯ
НОВАЯ КАЛЕДОНИЯ (ФР.);NEW CALEDONIA (FR.);YANGI KALEDONIYA (FR.);ЯНГИ КАЛЕДОНИЯ (ФР.)
НОРВЕГИЯ;NORWAY;NORVEYA;НОРВЕГИЯ
НОРМАНДСКИЕ ОСТРОВА;CHANNEL ISLANDS;NORMAND OROLLARI;НОРМАНД ОРОЛЛАРИ
НОРФОЛК;NORFOLK;NORFOLK;НОРФОЛК
ОБЪЕД. АРАБСКИЕ ЭМИРАТЫ;UNITED ARAB EMIRATES;BIRLASHGAN ARAB AMIRLIKLARI;БИРЛАШГАН АРАБ АМИРЛИКЛАРИ
ОСТРОВ МЭН;ISLE OF MAN;INSON OROLI;МЭН ОРОЛИ
ОСТРОВ РОЖДЕСТВА;CHRISTMAS ISLAND;ROJDESTVO OROLI;РОЖДЕСТВО ОРОЛИ
ОСТРОВА КУКА;COOK ISLANDS;KUK OROLLARI;КУК ОРОЛЛАРИ
ОМАН;OMAN;UMMAN;УММОН
ПАКИСТАН;PAKISTAN;POKISTAN;ПОКИСТОН
ПАЛАУ;PALAU;PALAU;ПАЛАУ
ПАЛЕСТИНА;PALESTINE;FALESTIN;ФАЛЕСТИН
ПАНАМА;PANAMA;PANAMA;ПАНАМА
ПАПУА — НОВАЯ ГВИНЕЯ;PAPUA NEW GUINEA;PAPUA YANGI GVINEYA;ПАПУА ЯНГИ ГВИНЕЯ
ПАРАГВАЙ;PARAGUAY;PARAGVAY;ПАРАГВАЙ
ПЕРУ;PERU;PERU;ПЕРУ
ПИТКЭРН;PITCAIRN;PITCAIRN;ПИТКЕРН 
ПОЛЬША;POLAND;POLSHA;ПОЛША
ПОРТУГАЛИЯ;PORTUGAL;PORTUGALYA;ПОРТУГАЛИЯ
ПУЭРТО-РИКО (США);PUERTO RICO (USA);PUERTO-RIKO (AQSH);ПУЕРТО-РИКО (АҚШ)
РЕЮНЬОН;REUNION;REYUNYON;РЕЮНЬОН
РОССИЯ;RUSSIA;ROSSIYA;РОССИЯ
РУАНДА;RWANDA;RUANDA;РУАНДА
РУМЫНИЯ;ROMANIA;RUMINIYA;РУМУНИЯ
САЛЬВАДОР;SALVADOR;SALVADOR;САЛВАДОР
САМОА;SAMOA;SAMOA;САМОА
САН-ТОМЕ И ПРИНСИПИ;SAO TOME AND PRINCIPE;SAO TOME VA PRINSIPI;САО ТОМЕ ВА ПРИНСИПИ
САН-МАРИНО;SAN MARINO;SAN MARINO;САН МАРИНО
САУДОВСКАЯ АРАВИЯ;SAUDI ARABIA;SAUDIYA ARABISTONI;САУДИЯ АРАБИСТОНИ
СВАЗИЛЕНД;SWAZILAND;SVAZILAND;СВАЗИЛАНД
СВЯТАЯ ЕЛЕНА;SAINT HELENA;AVLIYO ELENA;АВЛИЁ ЕЛЕНА 
СЕЙШЕЛЫ;SEYCHELLES;SEYSHEL OROLLARI;СЕЙШЕЛ ОРОЛЛАРИ
СЕН-БАРТЕЛЕМИ;SAINT BARTHELEMY;SENT BARTELEMİ;СЕНТ БАРТЕЛЕМИ
СЕН-МАРТЕН (НИД.);SAINT MARTIN (NID.);SENT MARTIN (NID.);СЕНТ МАРТИН (НИД.)
СЕН-МАРТЕН (ФР.);SAINT MARTIN (FR.);SENT MARTIN (FR.);СЕНТ МАРТИН (ФР.)
СЕН-ПЬЕР И МИКЕЛОН;SAINT PIERRE AND MIKELON;SENT PIER VA MIKELON;СЕНТ ПИЕР ВА МИКЕЛОН
СЕНЕГАЛ;SENEGAL;SENEGAL;СЕНЕГАЛ
СЕНТ-ВИНСЕНТ И ГРЕНАДИНЫ;SAINT VINCENT AND THE GRENADINES;SENT VINSENT VA GRENADINALAR;СЕНТ ВИНСЕНТ ВА ГРЕНАДИНАЛАР
СЕНТ-КИТС И НЕВИС;SAINT KITTS AND NEVIS;SAINT KITTS VA NEVIS;САИНТ КИТТС ВА НЕВИС
СЕНТ-ЛЮСИЯ;SAINT LUCIA;AVLIY LUCIA;АВЛИЙО ЛУCИА
СЕРБИЯ;SERBIA;SERBIYA;СЕРБИЯ
СИНГАПУР;SINGAPORE;SINGAPUR;СИНГАПУР
СИРИЯ;SYRIA;SURİYA;СУРИЯ
СЛОВАКИЯ;SLOVAKIA;SLOVAKIYA;СЛОВАКИЯ
СЛОВЕНИЯ;SLOVENIA;SLOVENIYA;СЛОВЕНИЯ
СОЕДИНЕННОЕ КОРОЛЕВСТВО;UNITED KINGDOM;BIRLASHGAN QIROLLIK;БИРЛАШГАН ҚИРОЛЛИК
СОЛОМОНОВЫ ОСТРОВА;SOLOMON ISLANDS;SOLОМОN OROLLARI;СОЛОМОН ОРОЛЛАРИ
СОМАЛИ;SOMALIA;SOMALIYA;СОМАЛИЯ
СУДАН;SUDAN;SUDAN;СУДАН
СУРИНАМ;SURINAM;SURINAM;СУРИНАМ
США;USA;AQSH;АҚШ
СЬЕРРА-ЛЕОНЕ;SIERRA LEONE;SIERRA LEONE;СИЕРРА ЛЕОНЕ
ТАДЖИКИСТАН;TAJIKISTAN;TOJIKISTON;ТОЖИКИСТОН
ТАИЛАНД;THAILAND;TAILAND;ТАИЛАНД
ТАЙВАНЬ;TAIWAN;TAYVAN;ТАЙВАН
ТАНЗАНИЯ;TANZANIA;TANZANİYA;ТАНЗАНИЯ
ТЕРКС И КАЙКОС;TURKS AND CAICOS;TURKS VA CAICOS;ТУРКС ВА КАИCОС
ТИМОР-ЛЕСТЕ;TIMOR-LESTE;TIMOR-SHARQI;ТИМОР-ЛЕСТЕ
ТОГО;TOGO;TOGO;ТОГО
ТОКЕЛАУ;TOKELAU;TOKELAU;ТОКЕЛАУ
ТОНГА;TONGA;TONGA;ТОНГА
ТРИНИДАД И ТОБАГО;TRINIDAD AND TOBAGO;TRINIDAD VA TOBAGO;ТРИНИДАД ВА ТОБАГО
ТУВАЛУ;TUVALU;TUVALU;ТУВАЛУ
ТУНИС;TUNISIA;TUNIS;ТУНИС
ТУРКМЕНИЯ;TURKMENIA;TURKMANIYA;ТУРКМАНИЯ
ТУРЦИЯ;TURKEY;TURKIYA;ТУРКИЯ
УГАНДА;UGANDA;UGANDA;УГАНДА
УЗБЕКИСТАН;UZBEKISTAN;O'ZBEKISTON;ЎЗБЕКИСТОН
УКРАИНА;UKRAINE;UKRAINA;УКРАИНА
УОЛЛИС И ФУТУНА;WALLIS AND FUTUNA;UOLLIS VA FUTUNA;УОЛЛИС ВА ФУТУНА
УРУГВАЙ;URUGUAY;URUGUAY;УРУГУАЙ
ФАРЕРСКИЕ ОСТРОВА;FAROE ISLANDS;FARER OROLLARI;ФАРЕР ОРОЛЛАРИ
ФИДЖИ;FIJI;FIJI;ФИЖИ
ФИЛИППИНЫ;PHILIPPINES;FILIPPIN;ФИЛИППИН
ФИНЛЯНДИЯ;FINLAND;FINLANDIYA;ФИНЛАНДИЯ
ФОЛКЛЕНДСКИЕ ОСТРОВА;FALKLAND ISLANDS;FOLKLAND OROLLARI;ФОЛКЛАНД ОРОЛЛАРИ
ФР. ЮЖНЫЕ ТЕРРИТОРИИ;FR. SOUTH TERRITORIES;FR. JANUBIY HUDUDLAR;ФР. ЖАНУБИЙ ҲУДУДЛАР
ФРАНЦИЯ;FRANCE;FRANSIYA;ФРАНСИЯ
ФРАНЦУЗСКАЯ ГВИАНА (ФР.);FRENCH GUIANA (FR.);FRANSIZ GVIANA (FR.);ФРАНСИЗ ГВИАНА (ФР.)
ФРАНЦУЗСКАЯ ПОЛИНЕЗИЯ;FRENCH POLYNESIA;FRANSIZ POLINEZIYA;ФРАНСИЗ ПОЛИНЕЗИЯ
ХЕРД И МАКДОНАЛЬД;HERD AND MACDONALD;HERD VA MAKDONALD;ХЕРД ВА МАКДОНАЛД
ХОРВАТИЯ;CROATIA;XORVATIYA;ХОРВАТИЯ
ЦЕНТР. — АФР. РЕСПУБЛИКА;CENTER. — AFR. REPUBLIC;MARKAZ. - AFR. RESPUBLIKASI;МАРКАЗ. - АФР. РЕСПУБЛИКАСИ
ЧАД;CHAD;CHAD;ЧАД
ЧЕРНОГОРИЯ;MONTENEGRO;CHERNOGORIYA;ЧЕРНОГОРИЯ
ЧЕХИЯ;CZECH;CHEXIYA;ЧЕХИЯ
ЧИЛИ;CHILE;CHILI;ЧИЛИ
ШВЕЙЦАРИЯ;SWITZERLAND;SHVEYTSARIYA;ШВЕЙТСАРИЯ
ШВЕЦИЯ;SWEDEN;SHVETSIYA;ШВЕЦИЯ
ШПИЦБЕРГЕН И ЯН-МАЙЕН;SPITSBERGEN AND JAN MAYEN;SPITSBERGEN VA YAN MAYEN;СПИТСБЕРГЕН ВА ЯН МАЕН
ШРИ-ЛАНКА;SRI LANKA;SHRI LANKA;ШРИ ЛАНКА
ЭКВАДОР;ECUADOR;EKVADOR;ЭКВАДОР
ЭКВАТОРИАЛЬНАЯ ГВИНЕЯ;EQUATORIAL GUINEA;EKVATORIAL GVINEYASI;ЭКВАТОРИАЛ ГВИНЕЯСИ
ЭРИТРЕЯ;ERITREA;ERITREYA;ЭРИТРЕЯ
ЭСТОНИЯ;ESTONIA;ESTONIYA;ЭСТОНИЯ
ЭФИОПИЯ;ETHIOPIA;EFIOPIYA;ЭФИОПИЯ
ЮЖНАЯ АФРИКА;SOUTH AFRICA;JANUBIY AFRIKA;ЖАНУБИЙ АФРИКА
ЮЖНЫЙ СУДАН;SOUTH SUDAN;JANUBIY SUDAN;ЖАНУБИЙ СУДАН
ЮЖНАЯ ДЖОРДЖИЯ И ЮЖНЫЕ САНДВИЧЕВЫ ОСТРОВА;SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS;JANUBIY GORJIYA VA JANUBIY SENDVICH OROLLARI;ЖАНУБИЙ ДЖОРЖИЯ ВА ЖАНУБИЙ СЕНДВИЧ ОРОЛЛАРИ
ЯМАЙКА;JAMAICA;YAMAYKA;ЯМАЙКА
ЯПОНИЯ;JAPAN;YAPONIYA;ЯПОНИЯ
